form,company,ticker,cik,filing_date,accession_number,filing_link
8-K,"BRINKER INTERNATIONAL, INC",EAT,703351,2025-02-18,0000703351-25-000009,https://www.sec.gov/Archives/edgar/data/703351/0000703351-25-000009.txt
8-K,BRISTOL MYERS SQUIBB CO,CELG-RI,14272,2025-02-18,0001140361-25-005012,https://www.sec.gov/Archives/edgar/data/14272/0001140361-25-005012.txt
8-K,Bank First Corp,BFC,1746109,2025-02-18,0001104659-25-014733,https://www.sec.gov/Archives/edgar/data/1746109/0001104659-25-014733.txt
8-K,"Blackstone Real Estate Income Trust, Inc.",BSTT,1662972,2025-02-18,0001662972-25-000016,https://www.sec.gov/Archives/edgar/data/1662972/0001662972-25-000016.txt
8-K,BlueLinx Holdings Inc.,BXC,1301787,2025-02-18,0001301787-25-000010,https://www.sec.gov/Archives/edgar/data/1301787/0001301787-25-000010.txt
8-K,"Bluerock Homes Trust, Inc.",BHM,1903382,2025-02-18,0001104659-25-014495,https://www.sec.gov/Archives/edgar/data/1903382/0001104659-25-014495.txt
8-K,Bogota Financial Corp.,BSBK,1787414,2025-02-18,0000943374-25-000106,https://www.sec.gov/Archives/edgar/data/1787414/0000943374-25-000106.txt
8-K,BranchOut Food Inc.,BOF,1962481,2025-02-18,0001493152-25-007104,https://www.sec.gov/Archives/edgar/data/1962481/0001493152-25-007104.txt
8-K,"Bridgeline Digital, Inc.",BLIN,1378590,2025-02-18,0001437749-25-004209,https://www.sec.gov/Archives/edgar/data/1378590/0001437749-25-004209.txt
8-K,Bridgewater Bancshares Inc,BWBBP,1341317,2025-02-18,0001558370-25-001101,https://www.sec.gov/Archives/edgar/data/1341317/0001558370-25-001101.txt
8-K,"BrightSpire Capital, Inc.",BRSP,1717547,2025-02-18,0001717547-25-000005,https://www.sec.gov/Archives/edgar/data/1717547/0001717547-25-000005.txt
8-K,Broad Capital Acquisition Corp,,1865120,2025-02-18,0001493152-25-007113,https://www.sec.gov/Archives/edgar/data/1865120/0001493152-25-007113.txt
8-K,"Broadstone Net Lease, Inc.",BNL,1424182,2025-02-18,0000950170-25-022242,https://www.sec.gov/Archives/edgar/data/1424182/0000950170-25-022242.txt
8-K,Brookdale Senior Living Inc.,BKDT,1332349,2025-02-18,0001332349-25-000034,https://www.sec.gov/Archives/edgar/data/1332349/0001332349-25-000034.txt
8-K,Bumble Inc.,BMBL,1830043,2025-02-18,0000950170-25-022236,https://www.sec.gov/Archives/edgar/data/1830043/0000950170-25-022236.txt
8-K,CADENCE DESIGN SYSTEMS INC,CDNS,813672,2025-02-18,0000813672-25-000016,https://www.sec.gov/Archives/edgar/data/813672/0000813672-25-000016.txt
8-K,CAPITAL ONE FINANCIAL CORP,COF-PN,927628,2025-02-18,0000927628-25-000052,https://www.sec.gov/Archives/edgar/data/927628/0000927628-25-000052.txt
8-K,CAPITAL ONE FINANCIAL CORP,COF-PN,927628,2025-02-18,0000927628-25-000056,https://www.sec.gov/Archives/edgar/data/927628/0000927628-25-000056.txt
8-K,CAPITAL SOUTHWEST CORP,CSWCZ,17313,2025-02-18,0000017313-25-000015,https://www.sec.gov/Archives/edgar/data/17313/0000017313-25-000015.txt
8-K,CARNIVAL CORP,CCL,815097,2025-02-18,0000950142-25-000410,https://www.sec.gov/Archives/edgar/data/815097/0000950142-25-000410.txt
8-K,CARNIVAL PLC,CUKPF,1125259,2025-02-18,0000950142-25-000410,https://www.sec.gov/Archives/edgar/data/1125259/0000950142-25-000410.txt
8-K,CARPENTER TECHNOLOGY CORP,CRS,17843,2025-02-18,0000017843-25-000007,https://www.sec.gov/Archives/edgar/data/17843/0000017843-25-000007.txt
8-K,CBL & ASSOCIATES PROPERTIES INC,CBL,910612,2025-02-18,0000950170-25-022467,https://www.sec.gov/Archives/edgar/data/910612/0000950170-25-022467.txt
8-K,CENTERSPACE,IRET,798359,2025-02-18,0000798359-25-000012,https://www.sec.gov/Archives/edgar/data/798359/0000798359-25-000012.txt
8-K,CENTRAL GARDEN & PET CO,CENTA,887733,2025-02-18,0000887733-25-000009,https://www.sec.gov/Archives/edgar/data/887733/0000887733-25-000009.txt
8-K,CHOICEONE FINANCIAL SERVICES INC,COFS,803164,2025-02-18,0000905729-25-000040,https://www.sec.gov/Archives/edgar/data/803164/0000905729-25-000040.txt
8-K,CITIGROUP INC,C-PN,831001,2025-02-18,0001104659-25-014780,https://www.sec.gov/Archives/edgar/data/831001/0001104659-25-014780.txt
8-K,CITIGROUP INC,C-PN,831001,2025-02-18,0001104659-25-014783,https://www.sec.gov/Archives/edgar/data/831001/0001104659-25-014783.txt
8-K,COMM 2015-LC19 Mortgage Trust,,1628112,2025-02-18,0001888524-25-001786,https://www.sec.gov/Archives/edgar/data/1628112/0001888524-25-001786.txt
8-K,COMMUNITY HEALTH SYSTEMS INC,CYH,1108109,2025-02-18,0000950170-25-022328,https://www.sec.gov/Archives/edgar/data/1108109/0000950170-25-022328.txt
8-K,COMSTOCK RESOURCES INC,CRK,23194,2025-02-18,0000950170-25-022268,https://www.sec.gov/Archives/edgar/data/23194/0000950170-25-022268.txt
8-K,COMTECH TELECOMMUNICATIONS CORP /DE/,CMTL,23197,2025-02-18,0000023197-25-000028,https://www.sec.gov/Archives/edgar/data/23197/0000023197-25-000028.txt
8-K,CONAGRA BRANDS INC.,CAG,23217,2025-02-18,0000023217-25-000004,https://www.sec.gov/Archives/edgar/data/23217/0000023217-25-000004.txt
8-K,"CONSTELLATION BRANDS, INC.",STZ,16918,2025-02-18,0000016918-25-000010,https://www.sec.gov/Archives/edgar/data/16918/0000016918-25-000010.txt
8-K,CONSTELLATION ENERGY GENERATION LLC,,1168165,2025-02-18,0001868275-25-000020,https://www.sec.gov/Archives/edgar/data/1168165/0001868275-25-000020.txt
8-K,CONSUMERS BANCORP INC /OH/,CBKM,1006830,2025-02-18,0001437749-25-004166,https://www.sec.gov/Archives/edgar/data/1006830/0001437749-25-004166.txt
8-K,"COSTAR GROUP, INC.",CSGP,1057352,2025-02-18,0001057352-25-000004,https://www.sec.gov/Archives/edgar/data/1057352/0001057352-25-000004.txt
8-K,"CREATIVE REALITIES, INC.",CREX,1356093,2025-02-18,0001437749-25-004128,https://www.sec.gov/Archives/edgar/data/1356093/0001437749-25-004128.txt
8-K,CROSS TIMBERS ROYALTY TRUST,CRT,881787,2025-02-18,0000950170-25-022385,https://www.sec.gov/Archives/edgar/data/881787/0000950170-25-022385.txt
8-K,CUTERA INC,CUTR,1162461,2025-02-18,0001628280-25-006046,https://www.sec.gov/Archives/edgar/data/1162461/0001628280-25-006046.txt
8-K,CVR ENERGY INC,CVI,1376139,2025-02-18,0001376139-25-000006,https://www.sec.gov/Archives/edgar/data/1376139/0001376139-25-000006.txt
8-K,"CVR PARTNERS, LP",UAN,1425292,2025-02-18,0001425292-25-000002,https://www.sec.gov/Archives/edgar/data/1425292/0001425292-25-000002.txt
8-K,"CYBERLOQ TECHNOLOGIES, INC.",CLOQ,1437517,2025-02-18,0001493152-25-007122,https://www.sec.gov/Archives/edgar/data/1437517/0001493152-25-007122.txt
8-K,"Cabaletta Bio, Inc.",CABA,1759138,2025-02-18,0001193125-25-028143,https://www.sec.gov/Archives/edgar/data/1759138/0001193125-25-028143.txt
8-K,Carlyle Tactical Private Credit Fund,,1725472,2025-02-18,0001193125-25-028688,https://www.sec.gov/Archives/edgar/data/1725472/0001193125-25-028688.txt
8-K,Celanese Corp,CE,1306830,2025-02-18,0001104659-25-014755,https://www.sec.gov/Archives/edgar/data/1306830/0001104659-25-014755.txt
8-K,Celanese Corp,CE,1306830,2025-02-18,0001306830-25-000012,https://www.sec.gov/Archives/edgar/data/1306830/0001306830-25-000012.txt
8-K,Celanese Corp,CE,1306830,2025-02-18,0001306830-25-000013,https://www.sec.gov/Archives/edgar/data/1306830/0001306830-25-000013.txt
8-K,Celularity Inc,CELUW,1752828,2025-02-18,0001493152-25-007097,https://www.sec.gov/Archives/edgar/data/1752828/0001493152-25-007097.txt
8-K,Cerence Inc.,CRNC,1768267,2025-02-18,0000950170-25-022216,https://www.sec.gov/Archives/edgar/data/1768267/0000950170-25-022216.txt
8-K,Chemours Co,CC,1627223,2025-02-18,0000950170-25-021779,https://www.sec.gov/Archives/edgar/data/1627223/0000950170-25-021779.txt
8-K,Chemours Co,CC,1627223,2025-02-18,0000950170-25-021792,https://www.sec.gov/Archives/edgar/data/1627223/0000950170-25-021792.txt
8-K,"Chicago Atlantic BDC, Inc.",LIEN,1843162,2025-02-18,0000950103-25-002119,https://www.sec.gov/Archives/edgar/data/1843162/0000950103-25-002119.txt
8-K,"Childrens Place, Inc.",PLCE,1041859,2025-02-18,0001104659-25-014794,https://www.sec.gov/Archives/edgar/data/1041859/0001104659-25-014794.txt
8-K,"Cidara Therapeutics, Inc.",CDTX,1610618,2025-02-18,0001193125-25-028641,https://www.sec.gov/Archives/edgar/data/1610618/0001193125-25-028641.txt
8-K,Community Healthcare Trust Inc,CHCT,1631569,2025-02-18,0001104659-25-014468,https://www.sec.gov/Archives/edgar/data/1631569/0001104659-25-014468.txt
8-K,Community Healthcare Trust Inc,CHCT,1631569,2025-02-18,0001631569-25-000016,https://www.sec.gov/Archives/edgar/data/1631569/0001631569-25-000016.txt
8-K,"Compass, Inc.",COMP,1563190,2025-02-18,0001563190-25-000033,https://www.sec.gov/Archives/edgar/data/1563190/0001563190-25-000033.txt
8-K,Comstock Inc.,LODE,1120970,2025-02-18,0001437749-25-004211,https://www.sec.gov/Archives/edgar/data/1120970/0001437749-25-004211.txt
8-K,Connexa Sports Technologies Inc.,YYAI,1674440,2025-02-18,0001493152-25-007211,https://www.sec.gov/Archives/edgar/data/1674440/0001493152-25-007211.txt
8-K,Constellation Energy Corp,CEG,1868275,2025-02-18,0001868275-25-000020,https://www.sec.gov/Archives/edgar/data/1868275/0001868275-25-000020.txt
8-K,"Contango ORE, Inc.",CTGO,1502377,2025-02-18,0000950170-25-022414,https://www.sec.gov/Archives/edgar/data/1502377/0000950170-25-022414.txt
8-K,Cosmos Health Inc.,COSM,1474167,2025-02-18,0001477932-25-001107,https://www.sec.gov/Archives/edgar/data/1474167/0001477932-25-001107.txt
8-K,D-Wave Quantum Inc.,QBTS-WT,1907982,2025-02-18,0001907982-25-000047,https://www.sec.gov/Archives/edgar/data/1907982/0001907982-25-000047.txt
8-K,DENNY'S Corp,DENN,852772,2025-02-18,0000852772-25-000064,https://www.sec.gov/Archives/edgar/data/852772/0000852772-25-000064.txt
8-K,DEVON ENERGY CORP/DE,DVN,1090012,2025-02-18,0001193125-25-028614,https://www.sec.gov/Archives/edgar/data/1090012/0001193125-25-028614.txt
8-K,DYCOM INDUSTRIES INC,DY,67215,2025-02-18,0000067215-25-000002,https://www.sec.gov/Archives/edgar/data/67215/0000067215-25-000002.txt
8-K,"Diamondback Energy, Inc.",FANG,1539838,2025-02-18,0001104659-25-014457,https://www.sec.gov/Archives/edgar/data/1539838/0001104659-25-014457.txt
8-K,"Digital Brands Group, Inc.",DBGI,1668010,2025-02-18,0001493152-25-007169,https://www.sec.gov/Archives/edgar/data/1668010/0001493152-25-007169.txt
8-K,Discover Financial Services,DFS,1393612,2025-02-18,0001193125-25-028750,https://www.sec.gov/Archives/edgar/data/1393612/0001193125-25-028750.txt
8-K,Dominari Holdings Inc.,DOMH,12239,2025-02-18,0001213900-25-014614,https://www.sec.gov/Archives/edgar/data/12239/0001213900-25-014614.txt
8-K,"Donnelley Financial Solutions, Inc.",DFIN,1669811,2025-02-18,0000950170-25-021797,https://www.sec.gov/Archives/edgar/data/1669811/0000950170-25-021797.txt
8-K,Dutch Bros Inc.,BROS,1866581,2025-02-18,0001866581-25-000052,https://www.sec.gov/Archives/edgar/data/1866581/0001866581-25-000052.txt
8-K,EAGLE BANCORP INC,EGBN,1050441,2025-02-18,0001050441-25-000027,https://www.sec.gov/Archives/edgar/data/1050441/0001050441-25-000027.txt
8-K,"ENTERGY ARKANSAS, LLC",EAI,7323,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/7323/0000065984-25-000009.txt
8-K,ENTERGY CORP /DE/,ETR,65984,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/65984/0000065984-25-000009.txt
8-K,"ENTERGY LOUISIANA, LLC",ELC,1348952,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/1348952/0000065984-25-000009.txt
8-K,"ENTERGY MISSISSIPPI, LLC",EMP,66901,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/66901/0000065984-25-000009.txt
8-K,"ENTERGY NEW ORLEANS, LLC",ENO,71508,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/71508/0000065984-25-000009.txt
8-K,"ENTERGY TEXAS, INC.",ETI-P,1427437,2025-02-18,0000065984-25-000009,https://www.sec.gov/Archives/edgar/data/1427437/0000065984-25-000009.txt
8-K,EQT Corp,EQT,33213,2025-02-18,0000033213-25-000008,https://www.sec.gov/Archives/edgar/data/33213/0000033213-25-000008.txt
8-K,EQT Infrastructure Co LLC,,2032019,2025-02-18,0001193125-25-028642,https://www.sec.gov/Archives/edgar/data/2032019/0001193125-25-028642.txt
8-K,"EQUUS TOTAL RETURN, INC.",EQS,878932,2025-02-18,0001712543-25-000010,https://www.sec.gov/Archives/edgar/data/878932/0001712543-25-000010.txt
8-K,ESPEY MFG & ELECTRONICS CORP,ESP,33533,2025-02-18,0001174947-25-000183,https://www.sec.gov/Archives/edgar/data/33533/0001174947-25-000183.txt
8-K,ESSEX PORTFOLIO LP,,1053059,2025-02-18,0001140361-25-005002,https://www.sec.gov/Archives/edgar/data/1053059/0001140361-25-005002.txt
8-K,"ESSEX PROPERTY TRUST, INC.",ESS,920522,2025-02-18,0001140361-25-005002,https://www.sec.gov/Archives/edgar/data/920522/0001140361-25-005002.txt
8-K,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,746515,2025-02-18,0000950170-25-021940,https://www.sec.gov/Archives/edgar/data/746515/0000950170-25-021940.txt
8-K,EXTREME NETWORKS INC,EXTR,1078271,2025-02-18,0000950170-25-021808,https://www.sec.gov/Archives/edgar/data/1078271/0000950170-25-021808.txt
8-K,Edible Garden AG Inc,EDBLW,1809750,2025-02-18,0001477932-25-001081,https://www.sec.gov/Archives/edgar/data/1809750/0001477932-25-001081.txt
8-K,Element Solutions Inc,ESI,1590714,2025-02-18,0001590714-25-000020,https://www.sec.gov/Archives/edgar/data/1590714/0001590714-25-000020.txt
8-K,Enertopia Corp.,ENRTD,1346022,2025-02-18,0001062993-25-002631,https://www.sec.gov/Archives/edgar/data/1346022/0001062993-25-002631.txt
8-K,"Essential Utilities, Inc.",WTRG,78128,2025-02-18,0001552781-25-000039,https://www.sec.gov/Archives/edgar/data/78128/0001552781-25-000039.txt
8-K,ExchangeRight Income Fund,,1771514,2025-02-18,0000950170-25-021900,https://www.sec.gov/Archives/edgar/data/1771514/0000950170-25-021900.txt
8-K,"FB Bancorp, Inc. /MD/",FBLA,2013639,2025-02-18,0000950170-25-022248,https://www.sec.gov/Archives/edgar/data/2013639/0000950170-25-022248.txt
8-K,FIDUS INVESTMENT Corp,FDUS,1513363,2025-02-18,0000950170-25-022208,https://www.sec.gov/Archives/edgar/data/1513363/0000950170-25-022208.txt
8-K,FLOWSERVE CORP,FLS,30625,2025-02-18,0001193125-25-028617,https://www.sec.gov/Archives/edgar/data/30625/0001193125-25-028617.txt
8-K,FLUOR CORP,FLR,1124198,2025-02-18,0001628280-25-005921,https://www.sec.gov/Archives/edgar/data/1124198/0001628280-25-005921.txt
8-K,FLUOR CORP,FLR,1124198,2025-02-18,0001628280-25-005922,https://www.sec.gov/Archives/edgar/data/1124198/0001628280-25-005922.txt
8-K,FRANKLIN ELECTRIC CO INC,FELE,38725,2025-02-18,0000038725-25-000011,https://www.sec.gov/Archives/edgar/data/38725/0000038725-25-000011.txt
8-K,FRANKLIN ELECTRIC CO INC,FELE,38725,2025-02-18,0000038725-25-000013,https://www.sec.gov/Archives/edgar/data/38725/0000038725-25-000013.txt
8-K,Federal Home Loan Bank of Atlanta,,1331465,2025-02-18,0001331465-25-000033,https://www.sec.gov/Archives/edgar/data/1331465/0001331465-25-000033.txt
8-K,Federal Home Loan Bank of Boston,,1331463,2025-02-18,0001331463-25-000033,https://www.sec.gov/Archives/edgar/data/1331463/0001331463-25-000033.txt
8-K,Federal Home Loan Bank of Cincinnati,,1326771,2025-02-18,0001326771-25-000029,https://www.sec.gov/Archives/edgar/data/1326771/0001326771-25-000029.txt
8-K,Federal Home Loan Bank of Indianapolis,,1331754,2025-02-18,0001331754-25-000038,https://www.sec.gov/Archives/edgar/data/1331754/0001331754-25-000038.txt
8-K,Federal Home Loan Bank of New York,,1329842,2025-02-18,0001654954-25-001639,https://www.sec.gov/Archives/edgar/data/1329842/0001654954-25-001639.txt
8-K,Federal Home Loan Bank of Pittsburgh,,1330399,2025-02-18,0000950170-25-021859,https://www.sec.gov/Archives/edgar/data/1330399/0000950170-25-021859.txt
8-K,Federal Home Loan Bank of San Francisco,,1316944,2025-02-18,0001316944-25-000037,https://www.sec.gov/Archives/edgar/data/1316944/0001316944-25-000037.txt
8-K,Federal Home Loan Bank of Topeka,,1325878,2025-02-18,0001325878-25-000032,https://www.sec.gov/Archives/edgar/data/1325878/0001325878-25-000032.txt
8-K,"First Bancorp, Inc /ME/",FNLC,765207,2025-02-18,0000765207-25-000011,https://www.sec.gov/Archives/edgar/data/765207/0000765207-25-000011.txt
8-K,"First Bancorp, Inc /ME/",FNLC,765207,2025-02-18,0000765207-25-000013,https://www.sec.gov/Archives/edgar/data/765207/0000765207-25-000013.txt
8-K,"Five9, Inc.",FIVN,1288847,2025-02-18,0001288847-25-000008,https://www.sec.gov/Archives/edgar/data/1288847/0001288847-25-000008.txt
8-K,Flutter Entertainment plc,FLUT,1635327,2025-02-18,0001193125-25-028337,https://www.sec.gov/Archives/edgar/data/1635327/0001193125-25-028337.txt
8-K,"FreightCar America, Inc.",RAIL,1320854,2025-02-18,0000950170-25-022260,https://www.sec.gov/Archives/edgar/data/1320854/0000950170-25-022260.txt
8-K,Future FinTech Group Inc.,FTFT,1066923,2025-02-18,0001213900-25-014901,https://www.sec.gov/Archives/edgar/data/1066923/0001213900-25-014901.txt
8-K,GALECTIN THERAPEUTICS INC,GALT,1133416,2025-02-18,0001140361-25-004971,https://www.sec.gov/Archives/edgar/data/1133416/0001140361-25-004971.txt
8-K,GENUINE PARTS CO,GPC,40987,2025-02-18,0000040987-25-000022,https://www.sec.gov/Archives/edgar/data/40987/0000040987-25-000022.txt
8-K,GENWORTH FINANCIAL INC,GNW,1276520,2025-02-18,0001193125-25-028621,https://www.sec.gov/Archives/edgar/data/1276520/0001193125-25-028621.txt
8-K,GLADSTONE COMMERCIAL CORP,GOODO,1234006,2025-02-18,0001234006-25-000004,https://www.sec.gov/Archives/edgar/data/1234006/0001234006-25-000004.txt
8-K,"GXO Logistics, Inc.",GXO,1852244,2025-02-18,0001104659-25-014782,https://www.sec.gov/Archives/edgar/data/1852244/0001104659-25-014782.txt
8-K,"GYRE THERAPEUTICS, INC.",GYRE,1124105,2025-02-18,0001140361-25-004957,https://www.sec.gov/Archives/edgar/data/1124105/0001140361-25-004957.txt
8-K,GameStop Corp.,GME,1326380,2025-02-18,0001326380-25-000018,https://www.sec.gov/Archives/edgar/data/1326380/0001326380-25-000018.txt
8-K,GeneDx Holdings Corp.,WGSWW,1818331,2025-02-18,0001818331-25-000013,https://www.sec.gov/Archives/edgar/data/1818331/0001818331-25-000013.txt
8-K,"Genprex, Inc.",GNPX,1595248,2025-02-18,0001437749-25-004126,https://www.sec.gov/Archives/edgar/data/1595248/0001437749-25-004126.txt
8-K,"Global Business Travel Group, Inc.",GBTG,1820872,2025-02-18,0001104659-25-014839,https://www.sec.gov/Archives/edgar/data/1820872/0001104659-25-014839.txt
8-K,"Global Water Resources, Inc.",GWRS,1434728,2025-02-18,0001434728-25-000053,https://www.sec.gov/Archives/edgar/data/1434728/0001434728-25-000053.txt
8-K,Great Lakes Dredge & Dock CORP,GLDD,1372020,2025-02-18,0001171843-25-000887,https://www.sec.gov/Archives/edgar/data/1372020/0001171843-25-000887.txt
8-K,"Greenlane Holdings, Inc.",GNLN,1743745,2025-02-18,0001493152-25-007102,https://www.sec.gov/Archives/edgar/data/1743745/0001493152-25-007102.txt
8-K,"Grove Collaborative Holdings, Inc.",GROVW,1841761,2025-02-18,0001628280-25-006045,https://www.sec.gov/Archives/edgar/data/1841761/0001628280-25-006045.txt
8-K,"HACKETT GROUP, INC.",HCKT,1057379,2025-02-18,0000950170-25-022283,https://www.sec.gov/Archives/edgar/data/1057379/0000950170-25-022283.txt
8-K,"HALOZYME THERAPEUTICS, INC.",HALO,1159036,2025-02-18,0001159036-25-000008,https://www.sec.gov/Archives/edgar/data/1159036/0001159036-25-000008.txt
8-K,"HCA Healthcare, Inc.",HCA,860730,2025-02-18,0001193125-25-028231,https://www.sec.gov/Archives/edgar/data/860730/0001193125-25-028231.txt
8-K,"HEALTHEQUITY, INC.",HQY,1428336,2025-02-18,0001428336-25-000004,https://www.sec.gov/Archives/edgar/data/1428336/0001428336-25-000004.txt
8-K,HENNESSY ADVISORS INC,HNNAZ,1145255,2025-02-18,0001437749-25-004228,https://www.sec.gov/Archives/edgar/data/1145255/0001437749-25-004228.txt
8-K,HERC HOLDINGS INC,HRI,1364479,2025-02-18,0001193125-25-028712,https://www.sec.gov/Archives/edgar/data/1364479/0001193125-25-028712.txt
8-K,HF Foods Group Inc.,HFFG,1680873,2025-02-18,0001628280-25-005956,https://www.sec.gov/Archives/edgar/data/1680873/0001628280-25-005956.txt
8-K,HONEYWELL INTERNATIONAL INC,HON,773840,2025-02-18,0000773840-25-000014,https://www.sec.gov/Archives/edgar/data/773840/0000773840-25-000014.txt
8-K,HUGOTON ROYALTY TRUST,HGTXU,862022,2025-02-18,0000950170-25-022379,https://www.sec.gov/Archives/edgar/data/862022/0000950170-25-022379.txt
8-K,"HYDROFARM HOLDINGS GROUP, INC.",HYFM,1695295,2025-02-18,0001628280-25-006029,https://www.sec.gov/Archives/edgar/data/1695295/0001628280-25-006029.txt
