Symbol,Currency,Name,IB Contract ID,ISIN,Rebate Rate,Fee Rate,Available Shares
AAGIY,USD,AIA GROUP LTD-SP ADR,90162715.0,XXXXXXX72053,-0.7923,5.1223,100000.0
AAGR,USD,AFRICAN AGRICULTURE HOLDINGS,670179928.0,XXXXXXXJ1007,-8.6673,12.9973,300000.0
AAIIQ,USD,ALABAMA AIRCRAFT INDUSTRIES,48014358.0,XXXXXXXE1001,4.08,0.25,1000.0
AAIR,USD,AVANTAIR INC,44026574.0,XXXXXXXT1016,4.08,0.25,75000.0
AAIRF,USD,AMERICAN AIRES INC,653571383.0,CA02377G2045,-1.197,5.527,250000.0
AAL,USD,AMERICAN AIRLINES GROUP INC,139673266.0,XXXXXXXR1023,3.9228,0.4072,
AAM,USD,AA MISSION ACQUISITION COR-A,728515738.0,KYG1000R1011,-24.4457,28.7757,2900000.0
AAM U,USD,AA MISSION ACQUISITION CORP,719273331.0,KYG1000R1193,-48.9378,53.2678,1000.0
AAMCF,USD,ALTISOURCE ASSET MANAGEMENT,118834665.0,VI02153X1080,-1.5116,5.8416,90000.0
AAME,USD,ATLANTIC AMERICAN CORP,265585.0,XXXXXXX91008,-1.3067,5.6367,150000.0
AAMI,USD,ACADIAN ASSET MANAGEMENT INC,374293788.0,XXXXXXXW1036,3.8103,0.5197,1600000.0
AAMMF,USD,ALMADEX MINERALS LTD-NEW,319496815.0,CA02028L1076,4.0611,0.2689,300000.0
AAMTF,USD,ARMADA MERCANTILE LTD,75218554.0,CA0419041037,4.08,0.25,15000.0
AAMUQ,USD,AMERICAN AMMUNITION INC-CA,30207305.0,XXXXXXX62093,4.08,0.25,800000.0
AAOI,USD,APPLIED OPTOELECTRONICS INC,135423662.0,XXXXXXXU1025,3.8601,0.4699,2400000.0
AAON,USD,AAON INC,265595.0,XXXXXXX02069,4.08,0.25,2900000.0
AAP,USD,ADVANCE AUTO PARTS INC,4027.0,XXXXXXXY1064,4.08,0.25,3400000.0
AAPB,USD,GRANITESHARES 2X LONG AAPL D,578561458.0,XXXXXXXR8842,-1.5774,5.9074,30000.0
AAPD,USD,DIREXION DAILY AAPL BEAR 1X,578561422.0,XXXXXXXA3041,-0.0338,4.3638,100000.0
AAPG,USD,ASCENTAGE PHARMA GR-ADR W-I,756915674.0,XXXXXXXB1052,-67.4745,71.8045,150000.0
AAPH,USD,AMERICAN PETRO-HUNTER INC,30207586.0,XXXXXXX71005,4.08,0.25,2300000.0
AAPI,USD,APPLE ISPORT GROUP INC,336320210.0,XXXXXXX53077,4.08,0.25,4000.0
AAPJ,USD,AAP INC,95309032.0,XXXXXXXT1034,4.08,0.25,
AAPL,USD,APPLE INC,265598.0,XXXXXXX31005,3.9219,0.4081,
AAPR,USD,IN ED PR ETF - 2YR TO A 2026,693841807.0,XXXXXXXY3356,4.08,0.25,30000.0
AAPT,USD,ALL AMERICAN PET CO INC,44001811.0,XXXXXXXF1066,4.08,0.25,7300000.0
AAPU,USD,DIREXION DAILY AAPL BULL 2X,578561419.0,XXXXXXXA8743,1.746,2.584,650000.0
AAPX,USD,T-REX 2X LNG APPLE DLY TRGT,677037688.0,XXXXXXXN6296,0.4828,3.8472,10000.0
AAPY,USD,KURV YLD PREM STR AAPL ETF,742759295.0,XXXXXXX85005,-10.8403,15.1703,3000.0
AASP,USD,GLOBAL ACQUISITIONS CORPORAT,483638483.0,XXXXXXX31074,4.08,0.25,6000.0
AAST,USD,ALLIED AMERICAN STEEL CORP,88121627.0,XXXXXXX71033,4.08,0.25,10000.0
AAT,USD,AMERICAN ASSETS TRUST INC,82819360.0,XXXXXXX31047,3.9038,0.4262,2100000.0
AATC,USD,AUTOSCOPE TECHNOLOGIES CORP,504062934.0,XXXXXXX61067,-2.6102,6.9402,100000.0
AATRL,USD,AMG CAPITAL TRUST II,415141203.0,XXXXXXXF2092,4.08,0.25,600000.0
AATV,USD,ADAPTIVE AD SYSTEMS INC,160872878.0,XXXXXXXA1007,-1.7846,6.1146,1000.0
AAUAF,USD,ALMADEN MINERALS LTD - B,202212514.0,CA0202833053,3.308,1.022,2000000.0
AAUGF,USD,AERO ENERGY LTD,683501344.0,CA00792K1075,4.08,0.25,150000.0
AAVM,USD,ALPHA ARCHITECT GLOBAL FACTOR,274839972.0,XXXXXXXL5084,-7.2606,11.5906,150000.0
AAVMY,USD,ABN AMRO BANK NV-UNSP ADR,377515728.0,XXXXXXXQ1058,-9.3915,13.7215,100000.0
AAVVF,USD,ADVANTAGE ENERGY LTD,493038634.0,CA00791P1071,3.5415,0.7885,4800000.0
AAWH,USD,ASCEND WELLNESS HOLDINGS-A,490642487.0,XXXXXXXN1063,-0.1608,4.4908,5100000.0
AAXJ,USD,ISHARES MSCI ALL COUNTRY ASI,53224215.0,XXXXXXX81829,1.6109,2.7191,650000.0
AAXT,USD,AAMAXAN TRANSPORT GROUP INC,46612997.0,XXXXXXXR3030,4.08,0.25,15000.0
AB,USD,ALLIANCEBERNSTEIN HOLDING LP,38198926.0,XXXXXXXG1067,3.9537,0.3763,2100000.0
ABAT,USD,AMERICAN BATTERY TECHNOLOGY ,653032827.0,XXXXXXXV3096,-20.6418,24.9718,100000.0
ABAT.OLD1,USD,ADVANCED BATTERY TECHNOLOGIE,30207591.0,XXXXXXXH1023,4.08,0.25,9900000.0
ABBB,USD,AUBURN BANCORP INC,53267463.0,XXXXXXX41016,-8.9292,13.2592,45000.0
ABBNY,USD,ABB LTD-SPON ADR,11962137.0,XXXXXXX52047,4.0708,0.2592,150000.0
ABBRF,USD,ABRASILVER RESOURCE CORP,704630244.0,CA00379L3048,-3.6179,7.9479,600000.0
ABBV,USD,ABBVIE INC,118089500.0,XXXXXXXY1091,3.9219,0.4081,
ABBY,USD,ABBY INC,166708571.0,XXXXXXXT3086,4.08,0.25,550000.0
ABCB,USD,AMERIS BANCORP,3655373.0,XXXXXXXK1088,3.9219,0.4081,1600000.0
ABCE,USD,ABCO ENERGY INC,463342394.0,XXXXXXXV4023,4.08,0.25,2300000.0
ABCFF,USD,ABACUS MINING &amp; EXPLORATION,274710751.0,CA0025555065,-10.4231,14.7531,450000.0
ABCL,USD,ABCELLERA BIOLOGICS INC,459919952.0,CA00288U1066,3.4364,0.8936,1500000.0
ABCP,USD,AMBASE CORP,30207592.0,XXXXXXX41061,4.0221,0.3079,1800000.0
ABEO,USD,ABEONA THERAPEUTICS INC,571221112.0,XXXXXXXY2063,4.0214,0.3086,1600000.0
ABEPF,USD,VISION LITHIUM INC,322587606.0,CA92837C1095,-2.5389,6.8689,1700000.0
ABEQ,USD,ABSOLUTE SELECT VALUE ETF,400759002.0,XXXXXXXL5681,-7.5784,11.9084,2000.0
ABEV,USD,AMBEV SA-ADR,137736417.0,XXXXXXXV1035,4.08,0.25,
ABEW,USD,AIRBEE WIRELESS INC,42778704.0,XXXXXXX31054,4.08,0.25,300000.0
ABFL,USD,ABACUS FCF LEADERS ETF,249323298.0,XXXXXXXW3025,-0.5625,4.8925,7000.0
ABG,USD,ASBURY AUTOMOTIVE GROUP,14680959.0,XXXXXXX61046,4.08,0.25,500000.0
ABHI,USD,AMBICOM HOLDINGS INC,225649604.0,XXXXXXXR3003,4.08,0.25,4700000.0
ABHY,USD,ABACUS TACTICAL HIGH YIELD E,459332007.0,XXXXXXXW6093,-5.9075,10.2375,1000.0
ABILF,USD,ABILITY INC,311892904.0,KYG8789K1242,4.08,0.25,65000.0
ABIT,USD,ATHENA BITCOIN GLOBAL,495899616.0,XXXXXXX91067,-1.4598,5.7898,750000.0
ABKI,USD,ABAKAN INC,70839916.0,XXXXXXXJ1079,4.08,0.25,600000.0
ABL,USD,ABACUS LIFE INC,640550564.0,XXXXXXXY1047,3.9219,0.4081,550000.0
ABLD,USD,ABA FCF RAL ASET LAD ETF-USD,532646868.0,XXXXXXXW7083,1.6702,2.6598,200.0
ABLE,USD,ABLE ENERGY INC,6542348.0,XXXXXXX91024,4.08,0.25,70000.0
ABLG,USD,ABAC FCF INTERN LEAD ETF-USD,280803798.0,XXXXXXXW4015,-5.7203,10.0503,100000.0
ABLLL,USD,ABACUS LIFE INC,667606858.0,XXXXXXXY2037,-6.6833,11.0133,2000.0
ABLT,USD,AMERICAN BILTRITE INC,108509834.0,XXXXXXX14066,4.08,0.25,100.0
ABLV,USD,ABLE VIEW GLOBAL INC-B,649166469.0,KYG1149B1086,1.5735,2.7565,4000.0
ABM,USD,ABM INDUSTRIES INC,4050.0,XXXXXXX71003,4.08,0.25,1300000.0
ABMBF,USD,ABCOURT MINES INC -CL B,47525921.0,CA00288E3005,-2.3301,6.6601,950000.0
ABMC,USD,AMERICAN BIO MEDICA CORP,4725711.0,XXXXXXX01087,4.08,0.25,800000.0
ABMT,USD,ADVANCED BIOMEDICAL TECHNOLO,58608108.0,XXXXXXXM1018,4.08,0.25,30000.0
ABNAF,USD,ABEN MINERALS LTD,615337869.0,CA0029381088,4.08,0.25,100000.0
ABNB,USD,AIRBNB INC-CLASS A,459530964.0,XXXXXXX61010,3.9219,0.4081,
ABNY,USD,YLDMX ABNB OP INC STRTG ETF,711479003.0,XXXXXXXT4857,-16.1914,20.5214,4000.0
ABOS,USD,ACUMEN PHARMACEUTICALS INC,499901350.0,XXXXXXXG2093,3.9435,0.3865,1000000.0
ABOT,USD,ABACUS FCF INNOVATION LEADER,459332002.0,XXXXXXXW5004,-2.1186,6.4486,1000.0
ABP,USD,ABPRO HOLDINGS INC,741475216.0,XXXXXXX71031,-331.3413,335.6713,85000.0
ABPR,USD,AIRBORNE SECURITY &amp; PROTECTI,75736689.0,XXXXXXXQ1022,4.08,0.25,2800000.0
ABQQ,USD,AB INTERNATIONAL GROUP CORP,371244709.0,XXXXXXXU2024,-8.9292,13.2592,
ABR,USD,ARBOR REALTY TRUST INC,29661257.0,XXXXXXX31087,-1.0361,5.3661,400000.0
ABR PRD,USD,ARBOR REALTY TRUST INC,494398845.0,XXXXXXX38769,-14.9905,19.3205,100000.0
ABR PRE,USD,ARBOR RLTY TR INC PFD SER E (MD),507157329.0,XXXXXXX38686,-56.9882,61.3182,95000.0
ABR PRF,USD,ARBOR RLTY TR INC 6.25% SER F FXD-F,519293896.0,XXXXXXX38504,-16.0832,20.4132,450000.0
ABSI,USD,ABSCI CORP,504239576.0,XXXXXXXE1091,2.3216,2.0084,300000.0
ABSSF,USD,AIRBOSS OF AMERICA CORP,75219120.0,CA00927V2003,1.1216,3.2084,10000.0
ABSY,USD,ABSOLUTESKY INC,75217630.0,XXXXXXXT1088,4.08,0.25,10000.0
ABT,USD,ABBOTT LABORATORIES .,4065.0,XXXXXXX41000,3.9219,0.4081,
ABTS,USD,ABITS GROUP INC,508656697.0,VGG6S34K1052,-2.8262,7.1562,250000.0
ABUS,USD,ARBUTUS BIOPHARMA CORP,202009938.0,CA03879J1003,3.8958,0.4342,5800000.0
ABVC,USD,ABVC BIOPHARMA INC ,644574597.0,XXXXXXXF3047,-26.8539,31.1839,200000.0
ABVE,USD,ABOVE FOOD INGREDIENTS INC,712984808.0,CA00373V1004,-152.777,157.107,50000.0
ABVG,USD,AFFINITY BEVERAGE GROUP INC,229145261.0,XXXXXXXF1012,4.08,0.25,
ABVN,USD,ABV CONSULTING INC,247950861.0,XXXXXXXQ1022,4.08,0.25,6000.0
ABVX,USD,ABIVAX SA-ADR,660328706.0,XXXXXXXM1036,-2.4767,6.8067,550000.0
ABWN,USD,AIRBORNE WIRELESS NETWORK,331339431.0,XXXXXXXL3006,4.08,0.25,
ABXXF,USD,ABAXX TECHNOLOGIES IN,632208465.0,CA00258V3083,-4.89,9.22,550000.0
AC,USD,ASSOCIATED CAPITAL GROUP - A,211726414.0,XXXXXXX81065,3.5051,0.8249,1000.0
ACA,USD,ARCOSA INC,336517320.0,XXXXXXX31008,3.9335,0.3965,1200000.0
ACAD,USD,ACADIA PHARMACEUTICALS INC,29308796.0,XXXXXXX51084,3.9219,0.4081,3700000.0
ACAI,USD,SAFEPLUS INTERNATIONAL HOLDI,444365548.0,XXXXXXXR1068,4.08,0.25,200000.0
ACAN,USD,AMERICANN INC,165012035.0,XXXXXXX81072,4.08,0.25,100000.0
ACB,USD,AURORA CANNABIS INC,684987288.0,CA05156X8504,-0.344,4.674,150000.0
ACCD,USD,ACCOLADE INC,431039863.0,XXXXXXXE1029,3.7258,0.6042,5400000.0
ACCE,USD,ACCRES HOLDING INC,91963619.0,XXXXXXXA1007,4.08,0.25,20000.0
ACCO,USD,ACCO BRANDS CORP,35442319.0,XXXXXXXT1088,3.7234,0.6066,3500000.0
ACCR,USD,ACCESS-POWER &amp; CO INC,43601780.0,XXXXXXXN1081,4.08,0.25,950000.0
ACCS,USD,ACCESS NEWSWIRE INC,96926094.0,XXXXXXXM2044,-0.9459,5.2759,550000.0
ACCS.OLD1,USD,ACCESSTEL INC,30689497.0,XXXXXXXC3088,4.08,0.25,20000.0
ACCYY,USD,ACCOR SA-SPONSORED ADR,185736907.0,XXXXXXXF3091,-13.7666,18.0966,35000.0
ACDBF,USD,AC-DC BATTERY METALS INC,701506665.0,CA0008011003,2.9569,1.3731,30000.0
ACDC,USD,PROFRAC HOLDING CORP-A,561196594.0,XXXXXXXN1000,0.8479,3.4821,650000.0
ACDU,USD,ACCREDITED BUSINESS CONSOLID,71522172.0,XXXXXXX51027,4.08,0.25,2200000.0
ACDVF,USD,AIR CANADA,173339588.0,CA0089118776,4.068,0.262,400000.0
ACDXF,USD,AMERICAN COPPER DEVELOPMENT,620659108.0,CA02527W1095,-0.0958,4.4258,150000.0
ACEL,USD,ACCEL ENTERTAINMENT INC,391638321.0,XXXXXXXQ1067,2.8757,1.4543,1000000.0
ACEN,USD,AC ENERGY INC,43150533.0,XXXXXXXM1027,4.08,0.25,150000.0
ACES,USD,ALPS CLEAN ENERGY ETF,324405891.0,XXXXXXXQ4608,0.6959,3.6341,60000.0
ACET,USD,ADICET BIO INC,445412968.0,XXXXXXX21086,3.9226,0.4074,4500000.0
ACFL,USD,AMC FINANCIAL HOLDINGS INC,75219885.0,XXXXXXX21077,4.08,0.25,100.0
ACFN,USD,ACORN ENERGY INC ,652831447.0,XXXXXXX82063,-1.9469,6.2769,35000.0
ACGBY,USD,AGRICULTURAL BANK-UNSPON ADR,79647868.0,XXXXXXXM1027,-2.3784,6.7084,100000.0
ACGI,USD,AMACORE GROUP INC-THE,30210963.0,XXXXXXX41000,4.08,0.25,15000.0
ACGL,USD,ARCH CAPITAL GROUP LTD,10763362.0,BMG0450A1053,3.9219,0.4081,8600000.0
ACGLN,USD,ARCH CAPITAL GROUP LTD,495306457.0,XXXXXXXA4040,2.1701,2.1599,100000.0
ACGLO,USD,ARCH CAPITAL GROUP LTD,286172031.0,XXXXXXXA1079,-0.5395,4.8695,100000.0
ACGX,USD,ALLIANCE CREATIVE GROUP INC,380634077.0,XXXXXXXT2069,2.4373,1.8927,2.0
ACHC,USD,ACADIA HEALTHCARE CO INC,96983623.0,XXXXXXXA1097,3.9219,0.4081,1700000.0
ACHFF,USD,ARCH BIOPARTNERS INC,440626674.0,CA03938C1041,1.3497,2.9803,20000.0
ACHL,USD,ACHILLES THERAPEUTICS PL-ADR,479807301.0,XXXXXXXL1026,-17.4025,21.7325,2300000.0
ACHR,USD,ARCHER AVIATION INC-A,514640214.0,XXXXXXXR1023,3.9219,0.4081,3800000.0
ACHV,USD,ACHIEVE LIFE SCIENCES INC,437395849.0,XXXXXXX85008,3.7955,0.5345,1000000.0
ACI,USD,ALBERTSONS COS INC - CLASS A,429435235.0,XXXXXXX11037,4.08,0.25,
ACIC,USD,AMERICAN COASTAL INSURANCE C,55001058.0,XXXXXXX01027,3.931,0.399,1300000.0
ACII.OLD1,USD,AMERICHIP INTL INC,45652475.0,XXXXXXXW2070,4.08,0.25,6000000.0
ACIO,USD,APTUS COLLARED INVESTMENT OP,374309307.0,XXXXXXXA2226,-1.766,6.096,7000.0
ACIU,USD,AC IMMUNE SA,249028349.0,CH0329023102,4.0796,0.2504,1100000.0
ACIW,USD,ACI WORLDWIDE INC,45427720.0,XXXXXXX81019,3.9262,0.4038,3100000.0
ACKRF,USD,AMERICAN CREEK RESOURCES LTD,474006048.0,CA0252883099,-6.9909,11.3209,250000.0
ACLC,USD,AMERICAN CENTURY LARGE CAP E,434313480.0,XXXXXXX27528,3.9706,0.3594,10000.0
ACLHF,USD,ACME LITHIUM INC,521966821.0,CA00472A1066,3.9035,0.4265,450000.0
ACLLF,USD,ATCO LTD -CLASS I,76937315.0,CA0467894006,3.8013,0.5287,40000.0
ACLLY,USD,ACCELLERON INDUSTRIES AG,589359943.0,XXXXXXXR1095,-2.6921,7.0221,10000.0
ACLO,USD,TCW AAA CLO ETF,742459262.0,XXXXXXXL8587,4.08,0.25,300.0
ACLP,USD,ACCELPATH INC,165867535.0,XXXXXXXU2096,4.08,0.25,
ACLS,USD,AXCELIS TECHNOLOGIES INC,239037320.0,XXXXXXX02085,4.08,0.25,1100000.0
ACLX,USD,ARCELLX INC,543033620.0,XXXXXXXC1009,4.08,0.25,700000.0
ACLY,USD,ARCLAND ENERGY NEW,132489797.0,XXXXXXX92054,4.08,0.25,3000.0
ACM,USD,AECOM,43980401.0,XXXXXXXT1007,3.9219,0.4081,4300000.0
ACMB,USD,AGRO CAPITAL MANAGEMENT CORP,467485771.0,XXXXXXXH3057,4.08,0.25,9000.0
ACMR,USD,ACM RESEARCH INC-CLASS A,295043917.0,XXXXXXXJ1097,3.9324,0.3976,1400000.0
ACN,USD,ACCENTURE PLC-CL A,67889930.0,IE00B4BNMY34,4.0754,0.2546,
ACNB,USD,ACNB CORP,30207417.0,XXXXXXX81092,3.8176,0.5124,10000.0
ACNE,USD,ALICE CONS MINING INC,76280405.0,XXXXXXX61092,4.08,0.25,1000.0
ACNI,USD,AMERICAN COMMUNITY NEWSPAPER,45071411.0,XXXXXXXT1034,4.08,0.25,350000.0
ACNT,USD,ASCENT INDUSTRIES CO,274940.0,XXXXXXX51076,3.8984,0.4316,950000.0
ACNV,USD,ACCELERA INNOVATIONS INC,195052865.0,XXXXXXXW1053,4.08,0.25,550000.0
ACOG,USD,ALPHA COGNITION INC,739449696.0,CA02074J5017,-5.8698,10.1998,700000.0
ACON,USD,ACLARION INC,757582305.0,XXXXXXX73002,-33.8335,38.1635,8000.0
ACOPY,USD,THE A2 MILK CO LTD-UNSP ADR,373962794.0,XXXXXXX11011,4.0031,0.3269,10000.0
ACP,USD,ABRDN INCOME CREDIT STRAT,297992417.0,XXXXXXX71063,3.9219,0.4081,2300000.0
ACP PRA,USD,AVENUE INCOME CREDIT STR,489137021.0,XXXXXXX72053,-63.0489,67.3789,25000.0
ACPIQ,USD,ANTHRACITE CAPITAL INC,6467924.0,XXXXXXX31088,2.0055,2.3245,650000.0
ACPS,USD,AC PARTNERS INC,305570011.0,XXXXXXXX1081,4.08,0.25,3000.0
ACR,USD,ACRES COMMERCIAL REALTY CORP,469715202.0,XXXXXXXQ1022,3.7718,0.5582,400000.0
ACR PRC,USD,ACRES COMMERCIAL REALTY CORP,471767596.0,XXXXXXXQ2012,-10.9025,15.2325,100000.0
ACR PRD,USD,ACRES COMMERCIAL REALTY,492142744.0,XXXXXXXQ3002,-5.8049,10.1349,15000.0
ACRB,USD,ASIA CARBON INDUSTRIES INC,84065192.0,XXXXXXXA1097,4.08,0.25,80000.0
ACRE,USD,ARES COMMERCIAL REAL ESTATE,106619222.0,XXXXXXXV1089,3.9121,0.4179,2900000.0
ACRG,USD,AMERICAN CLEAN RESOURCES GRO,491915587.0,XXXXXXX62097,4.08,0.25,5000.0
ACRS,USD,ACLARIS THERAPEUTICS INC,209011562.0,XXXXXXXU1051,3.3735,0.9565,2500000.0
ACRV,USD,ACRIVON THERAPEUTICS INC,596739232.0,XXXXXXX01096,3.8646,0.4654,850000.0
ACSAY,USD,ACS ACTIVIDADES CONS-UNS ADR,55558085.0,XXXXXXXH1068,-1.3067,5.6367,45000.0
ACSI,USD,AMERICAN CUSTOMER SATISFACTI,493013391.0,XXXXXXX47108,3.8217,0.5083,150000.0
ACT,USD,ENACT HOLDINGS INC,490639140.0,XXXXXXXE1091,3.79,0.54,1300000.0
ACTG,USD,ACACIA RESEARCH CORP,16699274.0,XXXXXXX13079,3.931,0.399,1400000.0
ACTL,USD,ARTEC GLOBAL MEDIA INC,158907658.0,XXXXXXXF1057,4.08,0.25,
ACTU,USD,ACTUATE THERAPEUTICS INC,718027325.0,XXXXXXX31009,-11.9267,16.2567,350000.0
ACU,USD,ACME UNITED CORP,764373.0,XXXXXXX61048,3.8913,0.4387,30000.0
ACUR,USD,ACURA PHARMACEUTICALS INC,205206682.0,XXXXXXXL8028,4.08,0.25,600.0
ACUS,USD,ACUSPHERE INC,101731872.0,XXXXXXXR8549,4.08,0.25,35000.0
ACUT,USD,ACCUSTEM SCIENCES INC,552592689.0,XXXXXXXA1016,-14.2216,18.5516,15000.0
ACV,USD,VIRTUS DIVERS INC &amp; CONVERT,467752322.0,XXXXXXXN1000,-2.7261,7.0561,15000.0
ACVA,USD,ACV AUCTIONS INC-A,478483385.0,XXXXXXXG1040,3.9435,0.3865,4400000.0
ACWI,USD,ISHARES MSCI ACWI ETF,49954154.0,XXXXXXX82579,3.7653,0.5647,600000.0
ACWV,USD,ISHARES MSCI GLOBAL MIN VOL,96090060.0,XXXXXXX65251,3.9435,0.3865,80000.0
ACWX,USD,ISHARES MSCI ACWI EX US ETF,49954149.0,XXXXXXX82405,2.1111,2.2189,2700000.0
ACXP,USD,ACURX PHARMACEUTICALS INC,496435957.0,XXXXXXXM1045,3.8116,0.5184,90000.0
ADAC,USD,ADAMA TECHNOLOGIES CORP,255834943.0,XXXXXXXQ3002,4.08,0.25,250000.0
ADAG,USD,ADAGENE INC-ADR,470279270.0,XXXXXXX91078,-96.8753,101.2053,100000.0
ADAP,USD,ADAPTIMMUNE THERAPEUTICS-ADR,193517767.0,XXXXXXXA1079,3.8518,0.4782,6900000.0
ADBE,USD,ADOBE INC,265768.0,XXXXXXXF1012,3.9219,0.4081,
ADBN,USD,AMERICANA DISTRIBUTION INC,30723974.0,XXXXXXX61047,4.08,0.25,
ADBRF,USD,ALDEBARAN RESOURCES INC,381079077.0,CA01408J1049,-14.2849,18.6149,100000.0
ADC,USD,AGREE REALTY CORP,4151.0,XXXXXXX21008,4.0491,0.2809,1000000.0
ADC PRA,USD,AGREE REALTY CORP,514277705.0,XXXXXXX22097,-31.6086,35.9386,60000.0
ADCOF,USD,ADCORE INC,503836665.0,CA00654B1040,-7.7601,12.0901,3000.0
ADCT,USD,ADC THERAPEUTICS SA,421686551.0,CH0499880968,1.8603,2.4697,400000.0
ADCV,USD,AD CAPITAL US INC,473127947.0,XXXXXXXR2004,4.08,0.25,200.0
ADD,USD,COLOR STAR TECHNOLOGY CO-A,741744489.0,KYG2287A1269,-32.6405,36.9705,350000.0
ADDYY,USD,ADIDAS AG-SPONSORED ADR,49517831.0,XXXXXXXA1079,-3.645,7.975,10000.0
ADEA,USD,ADEIA INC,585010756.0,XXXXXXXP1075,3.924,0.406,2100000.0
ADFS,USD,AMERICAN DEFENSE SYSTEMS INC,51653891.0,XXXXXXX11077,4.08,0.25,1300000.0
ADGL,USD,ALLDIGITAL HOLDINGS INC,94153992.0,XXXXXXXT1060,4.08,0.25,90000.0
ADGM,USD,ADAGIO MEDICAL HOLDINGS INC,719715529.0,XXXXXXXB1008,-50.1635,54.4935,35000.0
ADGO,USD,ADVANTEGO CORP,308154267.0,XXXXXXXN1028,4.08,0.25,
ADHC,USD,AMERICAN DIVERSIFIED HOLDING,132005016.0,XXXXXXXR3003,-18.3472,22.6772,2000000.0
ADHI,USD,ARSENAL DIGITAL HOLDINGS INC,566621515.0,XXXXXXXA2042,4.08,0.25,30000.0
ADI,USD,ANALOG DEVICES INC,4157.0,XXXXXXX41051,3.9219,0.4081,
ADIA,USD,ADIA NUTRITION INC,99315213.0,XXXXXXXW1099,-13.4758,17.8058,200000.0
ADIL,USD,ADIAL PHARMACEUTICALS INC ,646782490.0,XXXXXXXA2050,-130.7257,135.0557,200000.0
ADM,USD,ARCHER-DANIELS-MIDLAND CO,4165.0,XXXXXXX31020,3.9234,0.4066,
ADMA,USD,ADMA BIOLOGICS INC,136375641.0,XXXXXXX91046,3.8662,0.4638,
ADME,USD,APTUS DRAWDOWN MANAGED EQUIT,236317234.0,XXXXXXXA7845,1.7893,2.5407,45000.0
ADMG,USD,ADAMANT DRI PROCESSING AND M,165533609.0,XXXXXXXB1044,4.08,0.25,15000.0
ADMQ,USD,ADM ENDEAVORS INC,402807620.0,XXXXXXXT1007,4.08,0.25,550000.0
ADMT,USD,ADM TRONICS UNLIMITED INC-DE,30207462.0,XXXXXXX41004,-1.4598,5.7898,800000.0
ADN,USD,ADVENT TECHNOLOGIES HOLDINGS,702873993.0,XXXXXXXA2042,-65.6142,69.9442,40000.0
ADNT,USD,ADIENT PLC,252066451.0,IE00BD845X29,3.9435,0.3865,1500000.0
ADOOY,USD,ADARO ENERGY IND - UNSP ADR,74708864.0,XXXXXXXF1075,3.0668,1.2632,10000.0
ADP,USD,AUTOMATIC DATA PROCESSING,4661.0,XXXXXXX51036,3.9219,0.4081,9300000.0
ADPT,USD,ADAPTIVE BIOTECHNOLOGIES,372849716.0,XXXXXXXF1093,3.9388,0.3912,3200000.0
ADPV,USD,ADAPTIV SELECT ETF,595361684.0,XXXXXXXT5368,-31.9557,36.2857,8000.0
ADRN,USD,ADARNA ENERGY CORP,90634987.0,XXXXXXXG1058,4.08,0.25,35000.0
